epoch,train_rmse,validation_rmse
1,1.1456644247883332,1.3115156164908182
2,1.1104342971208299,1.3025539546730902
3,1.0813697289898099,1.2947890110910083
4,1.0577352761845105,1.288727470301204
5,1.0390873277517196,1.2836542549589842
6,1.024248022149147,1.2793270211437442
7,1.0116599538340487,1.2763018391843355
8,1.0015634576556394,1.275382581931879
9,0.9930668543573126,1.2736369508762688
10,0.9857496464979505,1.272657355946688
11,0.9797608043686814,1.271389488135996
12,0.9748149540917539,1.2707494912076374
